GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
833310,160,8,,,,,,Grover town,137,90,153,85,137,153
800320,160,8,,,,,,Acres Green CDP,3007,1053,3205,1052,3007,3205
800620,160,8,,,,,,Aetna Estates CDP,834,340,,,834,
800870,160,8,,,,,,Air Force Academy CDP,6680,720,7526,1238,6680,7526
801640,160,8,,,,,,Alpine CDP,174,236,,,174,
801090,160,8,,,,,,Alamosa city,8780,3671,7960,3215,8780,7960
801420,160,8,,,,,,Allenspark CDP,528,892,496,786,528,496
801740,160,8,,,,,,Altona CDP,501,234,,,501,
801915,160,8,,,,,,Amherst CDP,58,25,,,58,
802575,160,8,,,,,,Applewood CDP,7160,3247,7123,3067,7160,7123
803015,160,8,,,,,,Aristocrat Ranchettes CDP,1344,465,1254,412,1344,1254
803730,160,8,,,,,,Aspen Park CDP,882,374,874,341,882,874
803950,160,8,,,,,,Ault town,1519,615,1432,560,1519,1432
804000,160,8,,,,,,Aurora city,325078,131040,276393,109260,325078,276393
804110,160,8,,,,,,Avon town,6447,3615,5561,2557,6447,5561
804620,160,8,,,,,,Bark Ranch CDP,213,112,,,213,
804935,160,8,,,,,,Basalt town,3857,1912,2681,1218,3857,2681
805120,160,8,,,,,,Battlement Mesa CDP,4471,2351,3497,1631,4471,3497
805265,160,8,,,,,,Bayfield town,2333,966,1549,597,2333,1549
806172,160,8,,,,,,Berkley CDP,11207,4162,10743,3977,11207,10743
806255,160,8,,,,,,Berthoud town,5105,2084,4839,1883,5105,4839
806602,160,8,,,,,,Beulah Valley CDP,556,433,1164,718,556,1164
807245,160,8,,,,,,Blende CDP,878,402,,,878,
807420,160,8,,,,,,Blue Sky CDP,24,6,,,24,
807571,160,8,,,,,,Bonanza town,16,42,14,33,16,14
807580,160,8,,,,,,Bonanza Mountain Estates CDP,128,74,,,128,
807795,160,8,,,,,,Boone town,339,182,323,148,339,323
808070,160,8,,,,,,Bow Mar town,866,302,847,302,866,847
808290,160,8,,,,,,Brandon CDP,21,12,,,21,
808345,160,8,,,,,,Branson town,74,45,77,43,74,77
808400,160,8,,,,,,Breckenridge town,4540,6911,2408,4270,4540,2408
808530,160,8,,,,,,Brick Center CDP,107,44,,,107,
808675,160,8,,,,,,Brighton city,33352,11387,20905,6990,33352,20905
809280,160,8,,,,,,Broomfield city,55889,22646,38272,14322,55889,38272
810105,160,8,,,,,,Buena Vista town,2617,1378,2195,1124,2617,2195
810600,160,8,,,,,,Burlington city,4254,1478,3678,1430,4254,3678
810985,160,8,,,,,,Byers CDP,1160,494,1233,460,1160,1233
811645,160,8,,,,,,Campo town,109,75,150,79,109,150
811810,160,8,,,,,,Ca̱on City city,16400,7295,15431,6617,16400,15431
811975,160,8,,,,,,Capulin CDP,200,89,,,200,
812390,160,8,,,,,,Castle Pines North city,10360,3637,,,10360,
812415,160,8,,,,,,Castle Rock town,48231,17626,20224,7447,48231,20224
812450,160,8,,,,,,Cathedral CDP,14,21,,,14,
812460,160,8,,,,,,Catherine CDP,228,101,,,228,
812470,160,8,,,,,,Cattle Creek CDP,641,190,,,641,
812635,160,8,,,,,,Cedaredge town,2253,1180,1854,1000,2253,1854
812815,160,8,,,,,,Centennial city,100377,38779,,,100377,
812910,160,8,,,,,,Central City city,663,487,515,394,663,515
812945,160,8,,,,,,Chacra CDP,329,122,,,329,
813460,160,8,,,,,,Cheraw town,252,115,211,102,252,211
813590,160,8,,,,,,Cherry Creek CDP,11120,4387,,,11120,
814765,160,8,,,,,,City of Creede town,290,270,,,290,
815165,160,8,,,,,,Clifton CDP,19889,7715,17345,6640,19889,17345
815330,160,8,,,,,,Coal Creek town,343,160,303,125,343,303
815440,160,8,,,,,,Coaldale CDP,255,181,,,255,
815550,160,8,,,,,,Cokedale town,129,94,139,86,129,139
815605,160,8,,,,,,Collbran town,708,221,388,161,708,388
815825,160,8,,,,,,Colona CDP,30,20,,,30,
815935,160,8,,,,,,Colorado City CDP,2193,943,2018,845,2193,2018
816385,160,8,,,,,,Columbine Valley town,1256,530,1132,436,1256,1132
816465,160,8,,,,,,Comanche Creek CDP,369,137,,,369,
816715,160,8,,,,,,Conejos CDP,58,39,,,58,
