GEOID,SUMLEV,STATE,STATE,COUNTY,CBSA,CSA,E85,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
833310,160,8,8,,,,E85,,Grover town,137,90,153,85,137,153
800320,160,8,8,,,,E85,,Acres Green CDP,3007,1053,3205,1052,3007,3205
800620,160,8,8,,,,E85,,Aetna Estates CDP,834,340,,,834,
800870,160,8,8,,,,E85,,Air Force Academy CDP,6680,720,7526,1238,6680,7526
